region,season,year,subset,nsat,H_state3
Barents_Svalbard,winter,2026,C,1,0.3404614630062939
Barents_Svalbard,winter,2026,CD,2,0.3404614630062939
Barents_Svalbard,winter,2026,D,1,0.0
BeringChukchi,freeze-up,2019,A,1,0.5239801599864167
BeringChukchi,freeze-up,2019,AB,2,0.568663911069443
BeringChukchi,freeze-up,2019,B,1,0.3088936548427286
BeringChukchi,freeze-up,2020,A,1,0.48903988719668173
BeringChukchi,freeze-up,2020,AB,2,0.5416826653586272
BeringChukchi,freeze-up,2020,B,1,0.27688071450758045
BeringChukchi,freeze-up,2021,A,1,0.5220314105507846
BeringChukchi,freeze-up,2021,AB,2,0.5749918087555719
BeringChukchi,freeze-up,2021,B,1,0.3326437569910829
BeringChukchi,freeze-up,2025,A,1,0.5226348443527662
BeringChukchi,freeze-up,2025,AC,2,0.6016344954741801
BeringChukchi,freeze-up,2025,C,1,0.3867641361265447
BeringChukchi,melt,2019,A,1,0.3597914135488902
BeringChukchi,melt,2019,AB,2,0.3925743394414068
BeringChukchi,melt,2019,B,1,0.21816411860902507
BeringChukchi,melt,2020,A,1,0.30971029255552596
BeringChukchi,melt,2020,AB,2,0.3580452878044318
BeringChukchi,melt,2020,B,1,0.22020086378036194
BeringChukchi,melt,2021,A,1,0.32349968975819415
BeringChukchi,melt,2021,AB,2,0.37278840375358824
BeringChukchi,melt,2021,B,1,0.21302035283469212
BeringChukchi,melt,2025,A,1,0.31979968972277845
BeringChukchi,melt,2025,AC,2,0.40857780482585854
BeringChukchi,melt,2025,C,1,0.2588256400030715
BeringChukchi,melt,2026,A,1,0.0
BeringChukchi,melt,2026,AC,2,0.23973647958000951
BeringChukchi,melt,2026,ACD,3,0.38430567930739307
BeringChukchi,melt,2026,AD,2,0.31022135345665036
BeringChukchi,melt,2026,C,1,0.23973647958000951
BeringChukchi,melt,2026,CD,2,0.38430567930739307
BeringChukchi,melt,2026,D,1,0.31022135345665036
BeringChukchi,winter,2019,A,1,0.46769195138995173
BeringChukchi,winter,2019,AB,2,0.5047176010766243
BeringChukchi,winter,2019,B,1,0.2207322590259973
BeringChukchi,winter,2020,A,1,0.4456314063391605
BeringChukchi,winter,2020,AB,2,0.49918235247203524
BeringChukchi,winter,2020,B,1,0.2594706173663362
BeringChukchi,winter,2021,A,1,0.4605793185679045
BeringChukchi,winter,2021,AB,2,0.5049490279874098
BeringChukchi,winter,2021,B,1,0.24804266529097027
BeringChukchi,winter,2025,A,1,0.4453112699030933
BeringChukchi,winter,2025,AC,2,0.44689921032947033
BeringChukchi,winter,2025,C,1,0.019089010875455604
BeringChukchi,winter,2026,A,1,0.4332576378030891
BeringChukchi,winter,2026,AC,2,0.5343139560549043
BeringChukchi,winter,2026,ACD,3,0.5343139560549043
BeringChukchi,winter,2026,AD,2,0.4332576378030891
BeringChukchi,winter,2026,C,1,0.3503153634651742
BeringChukchi,winter,2026,CD,2,0.3503153634651742
BeringChukchi,winter,2026,D,1,0.0
GreenlandSea_Fram,freeze-up,2019,A,1,0.7548524449542876
GreenlandSea_Fram,freeze-up,2019,AB,2,0.8484930406706211
GreenlandSea_Fram,freeze-up,2019,B,1,0.7842400608420734
GreenlandSea_Fram,freeze-up,2020,A,1,0.754253501861547
GreenlandSea_Fram,freeze-up,2020,AB,2,0.8443328516666112
GreenlandSea_Fram,freeze-up,2020,B,1,0.772610117921603
GreenlandSea_Fram,freeze-up,2021,A,1,0.7439832115592838
GreenlandSea_Fram,freeze-up,2021,AB,2,0.8353967160304419
GreenlandSea_Fram,freeze-up,2021,B,1,0.785241364188569
GreenlandSea_Fram,freeze-up,2025,A,1,0.741848288401919
GreenlandSea_Fram,freeze-up,2025,AC,2,0.8165171854109815
GreenlandSea_Fram,freeze-up,2025,C,1,0.6846619950570173
GreenlandSea_Fram,melt,2019,A,1,0.5723387592317575
GreenlandSea_Fram,melt,2019,AB,2,0.6650882685794668
GreenlandSea_Fram,melt,2019,B,1,0.589081804588155
GreenlandSea_Fram,melt,2020,A,1,0.5749995742251547
GreenlandSea_Fram,melt,2020,AB,2,0.6642363550183457
GreenlandSea_Fram,melt,2020,B,1,0.587073026992135
GreenlandSea_Fram,melt,2021,A,1,0.5735146924203722
GreenlandSea_Fram,melt,2021,AB,2,0.6598418036501984
GreenlandSea_Fram,melt,2021,B,1,0.5776078955812111
GreenlandSea_Fram,melt,2025,A,1,0.5699608215506973
GreenlandSea_Fram,melt,2025,AC,2,0.6389069108871204
GreenlandSea_Fram,melt,2025,C,1,0.5292408708859112
GreenlandSea_Fram,melt,2026,A,1,0.5682010541537669
GreenlandSea_Fram,melt,2026,AC,2,0.5516810540904266
GreenlandSea_Fram,melt,2026,ACD,3,0.6282268856797211
GreenlandSea_Fram,melt,2026,AD,2,0.5487580671295167
GreenlandSea_Fram,melt,2026,C,1,0.45775646718494767
GreenlandSea_Fram,melt,2026,CD,2,0.6162455113258853
GreenlandSea_Fram,melt,2026,D,1,0.5329800051158697
GreenlandSea_Fram,winter,2019,A,1,0.7062206150336992
GreenlandSea_Fram,winter,2019,AB,2,0.8147840764395723
GreenlandSea_Fram,winter,2019,B,1,0.7287177588955771
GreenlandSea_Fram,winter,2020,A,1,0.7158856996470495
GreenlandSea_Fram,winter,2020,AB,2,0.8292268413611351
GreenlandSea_Fram,winter,2020,B,1,0.7488458586478297
GreenlandSea_Fram,winter,2021,A,1,0.7109345401986111
GreenlandSea_Fram,winter,2021,AB,2,0.8237482094439479
GreenlandSea_Fram,winter,2021,B,1,0.7447877153131308
