region,year,season,dt_h,O,n_acq
AKcorr_2,2024,freeze-up,6,0.0,21
AKcorr_2,2024,freeze-up,12,0.0,21
AKcorr_2,2024,freeze-up,24,0.0,21
AKcorr_2,2024,freeze-up,48,0.1297,21
AKcorr_2,2024,freeze-up,72,0.1297,21
AKcorr_2,2024,freeze-up,168,0.8154,21
AKcorr_2,2025,winter,6,0.0,22
AKcorr_2,2025,winter,12,0.0,22
AKcorr_2,2025,winter,24,0.0,22
AKcorr_2,2025,winter,48,0.1768,22
AKcorr_2,2025,winter,72,0.1768,22
AKcorr_2,2025,winter,168,0.8442,22
AKcorr_2,2025,shoulder,6,0.0,17
AKcorr_2,2025,shoulder,12,0.0,17
AKcorr_2,2025,shoulder,24,0.0,17
AKcorr_2,2025,shoulder,48,0.0978,17
AKcorr_2,2025,shoulder,72,0.0978,17
AKcorr_2,2025,shoulder,168,0.927,17
AKcorr_2,2025,melt,6,0.0,32
AKcorr_2,2025,melt,12,0.0,32
AKcorr_2,2025,melt,24,0.0,32
AKcorr_2,2025,melt,48,0.0489,32
AKcorr_2,2025,melt,72,0.0489,32
AKcorr_2,2025,melt,168,0.9546,32
AKcorr_2,2025,freeze-up,6,0.0,30
AKcorr_2,2025,freeze-up,12,0.0,30
AKcorr_2,2025,freeze-up,24,0.0,30
AKcorr_2,2025,freeze-up,48,0.1729,30
AKcorr_2,2025,freeze-up,72,0.1729,30
AKcorr_2,2025,freeze-up,168,0.9675,30
AKcorr_2,2026,winter,6,0.0,27
AKcorr_2,2026,winter,12,0.0,27
AKcorr_2,2026,winter,24,0.0,27
AKcorr_2,2026,winter,48,0.1326,27
AKcorr_2,2026,winter,72,0.1326,27
AKcorr_2,2026,winter,168,0.8393,27
AKcorr_2,2026,shoulder,6,0.0,22
AKcorr_2,2026,shoulder,12,0.0,22
AKcorr_2,2026,shoulder,24,0.0365,22
AKcorr_2,2026,shoulder,48,0.2649,22
AKcorr_2,2026,shoulder,72,0.2649,22
AKcorr_2,2026,shoulder,168,0.5918,22
AKcorr_2,2026,melt,6,0.0,21
AKcorr_2,2026,melt,12,0.0,21
AKcorr_2,2026,melt,24,0.0,21
AKcorr_2,2026,melt,48,0.0103,21
AKcorr_2,2026,melt,72,0.0103,21
AKcorr_2,2026,melt,168,0.7789,21
AKcorr_3,2016,winter,6,0.0,6
AKcorr_3,2016,winter,12,0.0,6
AKcorr_3,2016,winter,24,0.0,6
AKcorr_3,2016,winter,48,0.0,6
AKcorr_3,2016,winter,72,0.0,6
AKcorr_3,2016,winter,168,0.0,6
AKcorr_3,2016,shoulder,6,0.0,3
AKcorr_3,2016,shoulder,12,0.0,3
AKcorr_3,2016,shoulder,24,0.0,3
AKcorr_3,2016,shoulder,48,0.0,3
AKcorr_3,2016,shoulder,72,0.0,3
AKcorr_3,2016,shoulder,168,0.0,3
AKcorr_3,2016,melt,6,0.0,4
AKcorr_3,2016,melt,12,0.0,4
AKcorr_3,2016,melt,24,0.0,4
AKcorr_3,2016,melt,48,0.0,4
AKcorr_3,2016,melt,72,0.0,4
AKcorr_3,2016,melt,168,0.0492,4
AKcorr_3,2016,freeze-up,6,0.0,24
AKcorr_3,2016,freeze-up,12,0.0,24
AKcorr_3,2016,freeze-up,24,0.0182,24
AKcorr_3,2016,freeze-up,48,0.1202,24
AKcorr_3,2016,freeze-up,72,0.2567,24
AKcorr_3,2016,freeze-up,168,0.5883,24
AKcorr_3,2017,winter,6,0.0,46
AKcorr_3,2017,winter,12,0.0243,46
AKcorr_3,2017,winter,24,0.1366,46
AKcorr_3,2017,winter,48,0.2519,46
AKcorr_3,2017,winter,72,0.5252,46
AKcorr_3,2017,winter,168,0.9395,46
AKcorr_3,2017,shoulder,6,0.0,39
AKcorr_3,2017,shoulder,12,0.0143,39
AKcorr_3,2017,shoulder,24,0.3658,39
AKcorr_3,2017,shoulder,48,0.5125,39
AKcorr_3,2017,shoulder,72,0.6783,39
AKcorr_3,2017,shoulder,168,0.9342,39
AKcorr_3,2017,melt,6,0.0,40
AKcorr_3,2017,melt,12,0.0,40
AKcorr_3,2017,melt,24,0.0,40
AKcorr_3,2017,melt,48,0.2775,40
AKcorr_3,2017,melt,72,0.2775,40
AKcorr_3,2017,melt,168,0.9836,40
AKcorr_3,2017,freeze-up,6,0.0,30
AKcorr_3,2017,freeze-up,12,0.0,30
AKcorr_3,2017,freeze-up,24,0.0,30
AKcorr_3,2017,freeze-up,48,0.2694,30
AKcorr_3,2017,freeze-up,72,0.2694,30
AKcorr_3,2017,freeze-up,168,0.9675,30
AKcorr_3,2018,winter,6,0.0,27
AKcorr_3,2018,winter,12,0.0,27
AKcorr_3,2018,winter,24,0.0,27
AKcorr_3,2018,winter,48,0.2409,27
AKcorr_3,2018,winter,72,0.2409,27
AKcorr_3,2018,winter,168,0.9554,27
AKcorr_3,2018,shoulder,6,0.0,21
AKcorr_3,2018,shoulder,12,0.0,21
AKcorr_3,2018,shoulder,24,0.0,21
AKcorr_3,2018,shoulder,48,0.3443,21
AKcorr_3,2018,shoulder,72,0.3443,21
AKcorr_3,2018,shoulder,168,0.9016,21
AKcorr_3,2018,melt,6,0.0,42
AKcorr_3,2018,melt,12,0.0,42
AKcorr_3,2018,melt,24,0.0,42
AKcorr_3,2018,melt,48,0.3316,42
AKcorr_3,2018,melt,72,0.3316,42
AKcorr_3,2018,melt,168,0.9553,42
AKcorr_3,2018,freeze-up,6,0.0,31
AKcorr_3,2018,freeze-up,12,0.0,31
AKcorr_3,2018,freeze-up,24,0.0,31
AKcorr_3,2018,freeze-up,48,0.2931,31
AKcorr_3,2018,freeze-up,72,0.2931,31
AKcorr_3,2018,freeze-up,168,0.9675,31
AKcorr_3,2019,winter,6,0.0,32
